company,bucket_start,bucket_end,analysed,positive,neutral,negative,average_score,comment
OpenAI,15/02/2026,22/02/2026,10,7,2,1,0.4625,
OpenAI,08/02/2026,15/02/2026,0,,,,,Super Bowl
OpenAI,01/02/2026,08/02/2026,0,,,,,
OpenAI,25/01/2026,01/02/2026,0,,,,,
OpenAI,18/01/2026,25/01/2026,0,,,,,
OpenAI,11/01/2026,18/01/2026,0,,,,,
OpenAI,04/01/2026,11/01/2026,0,,,,,
OpenAI,28/12/2025,04/01/2026,0,,,,,
OpenAI,21/12/2025,28/12/2025,0,,,,,
OpenAI,14/12/2025,21/12/2025,0,,,,,
OpenAI,07/12/2025,14/12/2025,0,,,,,
OpenAI,30/11/2025,07/12/2025,0,,,,,
Anthropic,15/02/2026,22/02/2026,10,4,2,4,-0.0708,
Anthropic,08/02/2026,15/02/2026,0,,,,,Super Bowl
Anthropic,01/02/2026,08/02/2026,0,,,,,
Anthropic,25/01/2026,01/02/2026,0,,,,,
Anthropic,18/01/2026,25/01/2026,0,,,,,
Anthropic,11/01/2026,18/01/2026,0,,,,,
Anthropic,04/01/2026,11/01/2026,0,,,,,
Anthropic,28/12/2025,04/01/2026,0,,,,,
Anthropic,21/12/2025,28/12/2025,0,,,,,
Anthropic,14/12/2025,21/12/2025,0,,,,,
Anthropic,07/12/2025,14/12/2025,0,,,,,
Anthropic,30/11/2025,07/12/2025,0,,,,,
